"cron_schedule","cron_schedule_described"
"11 3 * * *","At 03:11 AM"
"11 4 * * 1","At 04:11 AM, only on Monday"
"11 5 * * *","At 05:11 AM"
"11 6,10,14,18,22,2 * * *","At 06:11 AM, 10:11 AM, 02:11 PM, 06:11 PM, 10:11 PM and 02:11 AM"
"11,26,41,56 * * * *","At 11, 26, 41, and 56 minutes past the hour"
"11-56/15 * * * *","Every 15 minutes, minutes 11 through 56 past the hour"
"11-59/10 * * * *","Every 10 minutes, minutes 11 through 59 past the hour"
"11-59/15 * * * *","Every 15 minutes, minutes 11 through 59 past the hour"
"12 * * * *","At 12 minutes past the hour"
"12 */5 * * *","At 12 minutes past the hour, every 5 hours"
"12 0 * * *","At 12:12 AM"
"12 1 * * *","At 01:12 AM"
"12 1,3 * * *","At 01:12 AM and 03:12 AM"
"12 16 * * *","At 04:12 PM"
"12 19 * * 1-6","At 07:12 PM, Monday through Saturday"
"12 3 * * *","At 03:12 AM"
"12 4 * * *","At 04:12 AM"
"12 5 * * *","At 05:12 AM"
"12 6 * * 1","At 06:12 AM, only on Monday"
"12 9 * * *","At 09:12 AM"
"12,22,32,42,52,02 * * * *","At 12, 22, 32, 42, 52, and 02 minutes past the hour"
"12,37,52 15-17 * * *","At 12, 37, and 52 minutes past the hour, between 03:00 PM and 05:59 PM"
"12-52/10 * * * *","Every 10 minutes, minutes 12 through 52 past the hour"
"12-57/15 * * * *","Every 15 minutes, minutes 12 through 57 past the hour"
"12-59/15 * * * *","Every 15 minutes, minutes 12 through 59 past the hour"
"12-59/30 * * * *","Every 30 minutes, minutes 12 through 59 past the hour"
"13 * * * *","At 13 minutes past the hour"
"13 */2 * * *","At 13 minutes past the hour, every 2 hours"
"13 */4 * * *","At 13 minutes past the hour, every 4 hours"
"13 1 * * *","At 01:13 AM"
"13 2,3 * * *","At 02:13 AM and 03:13 AM"
"13 3 * * *","At 03:13 AM"
"13 7 * * *","At 07:13 AM"
"13,28,43,58 * * * *","At 13, 28, 43, and 58 minutes past the hour"
"13-59/15 * * * *","Every 15 minutes, minutes 13 through 59 past the hour"
"14 * * * *","At 14 minutes past the hour"
"14 */2 * * *","At 14 minutes past the hour, every 2 hours"
"14 0-23/4 * * *","At 14 minutes past the hour, every 4 hours, between 12:00 AM and 11:59 PM"
"14 2 * * *","At 02:14 AM"
"14 2 * * 6","At 02:14 AM, only on Saturday"
"14 3 * * *","At 03:14 AM"
"14 6 * * 1-5","At 06:14 AM, Monday through Friday"
"14 7 * * *","At 07:14 AM"
"14 9 * * *","At 09:14 AM"
"14,29,44,59 * * * *","At 14, 29, 44, and 59 minutes past the hour"
"14,29,44,59 0-6 * * *","At 14, 29, 44, and 59 minutes past the hour, between 12:00 AM and 06:59  AM"
"14-59/15 * * * *","Every 15 minutes, minutes 14 through 59 past the hour"
"15 * * * *","At 15 minutes past the hour"
"15 */1 * * *","At 15 minutes past the hour"
"15 */2 * * *","At 15 minutes past the hour, every 2 hours"
"15 */4 * * *","At 15 minutes past the hour, every 4 hours"
"15 0 * * *","At 12:15 AM"
"15 0 * * 1","At 12:15 AM, only on Monday"
"15 0 1 * *","At 12:15 AM, on day 1 of the month"
"15 0,2 * * 4","At 12:15 AM and 02:15 AM, only on Thursday"
"15 0,2,4,6,8,11,14,16,18,20,22 * * *","At 12:15 AM, 02:15 AM, 04:15 AM, 06:15 AM, 08:15 AM, 11:15 AM, 02:15 PM,  04:15 PM, 06:15 PM, 08:15 PM and 10:15 PM"
"15 0,4,8,12,16,20 * * *","At 12:15 AM, 04:15 AM, 08:15 AM, 12:15 PM, 04:15 PM and 08:15  PM"
"15 00 * * 1","At 12:15 AM, only on Monday"
"15 00,08,16 * * *","At 12:15 AM, 08:15 AM and 04:15 PM"
"15 02 * * *","At 02:15 AM"
"15 1 * * *","At 01:15 AM"
"15 1 * * 1","At 01:15 AM, only on Monday"
"15 1 * * 1-5","At 01:15 AM, Monday through Friday"
"15 19,20 * * 1-5","At 07:15 PM and 08:15 PM, Monday through Friday"
"15 2 * * *","At 02:15 AM"
"15 2 * * 1","At 02:15 AM, only on Monday"
"15 2 * * 1-5","At 02:15 AM, Monday through Friday"
"15 2-19 * * 1-5","At 15 minutes past the hour, between 02:00 AM and 07:59 PM, Monday  through Friday"
"15 2-8 * * *","At 15 minutes past the hour, between 02:00 AM and 08:59 AM"
"15 20 * * 1-6","At 08:15 PM, Monday through Saturday"
"15 20 1 * *","At 08:15 PM, on day 1 of the month"
"15 20,21 * * 1-5","At 08:15 PM and 09:15 PM, Monday through Friday"
"15 21,22 * * 1-5","At 09:15 PM and 10:15 PM, Monday through Friday"
"15 22,23 * * 1-5","At 10:15 PM and 11:15 PM, Monday through Friday"
"15 3 * * *","At 03:15 AM"
"15 3,9,15,21 * * *","At 03:15 AM, 09:15 AM, 03:15 PM and 09:15 PM"
"15 4 * * *","At 04:15 AM"
"15 5 * * *","At 05:15 AM"
"15 6 * * *","At 06:15 AM"
"15 6,12,18 * * 1-6","At 06:15 AM, 12:15 PM and 06:15 PM, Monday through Saturday"
"15 8 * * *","At 08:15 AM"
"15 8-23 * * *","At 15 minutes past the hour, between 08:00 AM and 11:59 PM"
"15,45 * * * *","At 15 and 45 minutes past the hour"
"16 * * * *","At 16 minutes past the hour"
"16 0,2 * * *","At 12:16 AM and 02:16 AM"
"16 1,3 * * 4","At 01:16 AM and 03:16 AM, only on Thursday"
"16 2,3 * * 4","At 02:16 AM and 03:16 AM, only on Thursday"
"16 3 * * *","At 03:16 AM"
"16 4 * * *","At 04:16 AM"
"16 6,10,18 * * *","At 06:16 AM, 10:16 AM and 06:16 PM"
"16-46/15 * * * *","Every 15 minutes, minutes 16 through 46 past the hour"
"16-59/15 * * * *","Every 15 minutes, minutes 16 through 59 past the hour"
"17 * * * *","At 17 minutes past the hour"
"17 19 * * 1-6","At 07:17 PM, Monday through Saturday"
"17 2,4 * * 4","At 02:17 AM and 04:17 AM, only on Thursday"
"17 20 * * 1-6","At 08:17 PM, Monday through Saturday"
"17 3 * * *","At 03:17 AM"
"17 6 * * *","At 06:17 AM"
"17 8-17 * * 1-5","At 17 minutes past the hour, between 08:00 AM and 05:59 PM, Monday  through Friday"
"18 * * * *","At 18 minutes past the hour"
"18 */4 * * *","At 18 minutes past the hour, every 4 hours"
"18 1 * * *","At 01:18 AM"
"18 3 * * *","At 03:18 AM"
"18 5 * * *","At 05:18 AM"
"18,48 * * * *","At 18 and 48 minutes past the hour"
"19 * * * *","At 19 minutes past the hour"
"19 0,1 * * *","At 12:19 AM and 01:19 AM"
"19 0,2 * * 4","At 12:19 AM and 02:19 AM, only on Thursday"
"19 3 * * *","At 03:19 AM"
"19 5 * * *","At 05:19 AM"
"20 * * * *","At 20 minutes past the hour"
"20 */1 * * *","At 20 minutes past the hour"
"20 0 * * *","At 12:20 AM"
"20 1 * * *","At 01:20 AM"
"20 10 * * *","At 10:20 AM"
"20 11 * * *","At 11:20 AM"
"20 12 * * *","At 12:20 PM"
"20 13 * * *","At 01:20 PM"
"20 14 * * *","At 02:20 PM"
"20 15 * * *","At 03:20 PM"
"20 16 * * *","At 04:20 PM"
"20 17 * * *","At 05:20 PM"
"20 18 * * *","At 06:20 PM"
"20 19 * * *","At 07:20 PM"
"20 2 * * *","At 02:20 AM"
"20 2 * * 1","At 02:20 AM, only on Monday"
"20 20 * * *","At 08:20 PM"
"20 21 * * *","At 09:20 PM"
"20 22 * * *","At 10:20 PM"
"20 23 * * *","At 11:20 PM"
"20 3 * * *","At 03:20 AM"
"20 4 * * *","At 04:20 AM"
"20 4 * * 6","At 04:20 AM, only on Saturday"
"20 5 * * *","At 05:20 AM"
"20 6 * * *","At 06:20 AM"
"20 7 * * *","At 07:20 AM"
"20 8 * * *","At 08:20 AM"
"20 9 * * *","At 09:20 AM"
"20,50 * * * *","At 20 and 50 minutes past the hour"
"21 * * * *","At 21 minutes past the hour"
"21 */2 * * *","At 21 minutes past the hour, every 2 hours"
"21 0 * * *","At 12:21 AM"
"21 0,2 * * *","At 12:21 AM and 02:21 AM"
"21 3 * * *","At 03:21 AM"
"21-59/20 20-23,0-8 * * *","Every 20 minutes, minutes 21 through 59 past the hour, at 08:00 PM  through 11:59 PM and 12:00 AM through 08:59 AM"
"22 * * * *","At 22 minutes past the hour"
"22 0 * * *","At 12:22 AM"
"22 0,2 * * 4","At 12:22 AM and 02:22 AM, only on Thursday"
"22 12 * * *","At 12:22 PM"
"22 2 * * *","At 02:22 AM"
"22 2 * * 0-1","At 02:22 AM, Sunday through Monday"
"22 20 * * 1-6","At 08:22 PM, Monday through Saturday"
"22 3 * * *","At 03:22 AM"
"22 4 * * *","At 04:22 AM"
"22 5 * * *","At 05:22 AM"
"23 * * * *","At 23 minutes past the hour"
"23 0 * * *","At 12:23 AM"
"23 0,6,12,18 * * *","At 12:23 AM, 06:23 AM, 12:23 PM and 06:23 PM"
"23 1 * * *","At 01:23 AM"
"24 * * * *","At 24 minutes past the hour"
"24 1 * * 0-1","At 01:24 AM, Sunday through Monday"
"24 3,4 * * 4","At 03:24 AM and 04:24 AM, only on Thursday"
"25 * * * *","At 25 minutes past the hour"
"25 */1 * * *","At 25 minutes past the hour"
"25 0-23/2 * * *","At 25 minutes past the hour, every 2 hours, between 12:00 AM and 11:59 PM"
"25 1 * * *","At 01:25 AM"
"25 2 * * 1","At 02:25 AM, only on Monday"
"25 2,14 * * *","At 02:25 AM and 02:25 PM"
"25 2,3 * * 4","At 02:25 AM and 03:25 AM, only on Thursday"
"25 3 * * *","At 03:25 AM"
"25 3,4 * * 4","At 03:25 AM and 04:25 AM, only on Thursday"
"25 4 * * *","At 04:25 AM"
"25 4,16 * * *","At 04:25 AM and 04:25 PM"
"25 5 * * *","At 05:25 AM"
"25,55 * * * *","At 25 and 55 minutes past the hour"
"25-55/30 * * * *","Every 30 minutes, minutes 25 through 55 past the hour"
"26 * * * *","At 26 minutes past the hour"
"26 0,1 * * 4","At 12:26 AM and 01:26 AM, only on Thursday"
"26,56 * * * *","At 26 and 56 minutes past the hour"
"27 * * * *","At 27 minutes past the hour"
"27 */1 * * *","At 27 minutes past the hour"
"27 1,3 * * 4","At 01:27 AM and 03:27 AM, only on Thursday"
"27 4 * * *","At 04:27 AM"
"27 7 * * *","At 07:27 AM"
"27,57 * * * *","At 27 and 57 minutes past the hour"
"28 * * * *","At 28 minutes past the hour"
"28 11 * * *","At 11:28 AM"
"28 2 * * 0-1","At 02:28 AM, Sunday through Monday"
"28 2,3 * * 4","At 02:28 AM and 03:28 AM, only on Thursday"
"28 4 * * *","At 04:28 AM"
"28 5 * * *","At 05:28 AM"
"28,58 * * * *","At 28 and 58 minutes past the hour"
"29 * * * *","At 29 minutes past the hour"
"29 * * * 0-1,5-6","At 29 minutes past the hour, only on Sunday through Monday and Friday  through Saturday"
"29 3 * * 1-5","At 03:29 AM, Monday through Friday"
"29 4 * * *","At 04:29 AM"
"29,59 * * * *","At 29 and 59 minutes past the hour"
"30 * * * *","At 30 minutes past the hour"
"30 */2 * * *","At 30 minutes past the hour, every 2 hours"
"30 */4 * * *","At 30 minutes past the hour, every 4 hours"
"30 0 * * *","At 12:30 AM"
"30 0,4,8,12,16,20 * * *","At 12:30 AM, 04:30 AM, 08:30 AM, 12:30 PM, 04:30 PM and 08:30  PM"
"30 0-23 * * *","At 30 minutes past the hour, between 12:00 AM and 11:59 PM"
"30 0-6,8-23 * * 1-7","At 30 minutes past the hour, at 12:00 AM through 06:59 AM and 08:00 AM  through 11:59 PM, Monday through Sunday"
"30 1 * * *","At 01:30 AM"
"30 10 * * *","At 10:30 AM"
"30 11 * * *","At 11:30 AM"
"30 12 * * *","At 12:30 PM"
"30 13 * * *","At 01:30 PM"
"30 14 * * *","At 02:30 PM"
"30 15 * * *","At 03:30 PM"
"30 16 * * *","At 04:30 PM"
"30 17 * * *","At 05:30 PM"
"30 18 * * *","At 06:30 PM"
"30 19 * * *","At 07:30 PM"
"30 19 * * 1-5","At 07:30 PM, Monday through Friday"
"30 2 * * *","At 02:30 AM"
"30 2 * * 1","At 02:30 AM, only on Monday"
"30 20 * * *","At 08:30 PM"
"30 21 * * *","At 09:30 PM"
"30 22 * * *","At 10:30 PM"
"30 23 * * *","At 11:30 PM"
"30 3 * * *","At 03:30 AM"
"30 4 * * *","At 04:30 AM"
"30 5 * * *","At 05:30 AM"
"30 5 * * 1-5","At 05:30 AM, Monday through Friday"
"30 6 * * *","At 06:30 AM"
"30 7 * * *","At 07:30 AM"
"30 7 * * 0","At 07:30 AM, only on Sunday"
"30 8 * * *","At 08:30 AM"
"30 8 * * 1-5","At 08:30 AM, Monday through Friday"
"30 9 * * *","At 09:30 AM"
"30 9,11,13,15 * * 1-5","At 09:30 AM, 11:30 AM, 01:30 PM and 03:30 PM, Monday through Friday"
"31 * * * *","At 31 minutes past the hour"
"31 0,2 * * 4","At 12:31 AM and 02:31 AM, only on Thursday"
"31 1,3 * * *","At 01:31 AM and 03:31 AM"
"31 22 * * *","At 10:31 PM"
"32 * * * *","At 32 minutes past the hour"
"32 0,2 * * *","At 12:32 AM and 02:32 AM"
"32 0-23/2 * * *","At 32 minutes past the hour, every 2 hours, between 12:00 AM and 11:59 PM"
"32 6 * * 1-5","At 06:32 AM, Monday through Friday"
"33 * * * *","At 33 minutes past the hour"
"33 0 * * *","At 12:33 AM"
"33 1 * * *","At 01:33 AM"
"33 11 * * *","At 11:33 AM"
"33 3 * * *","At 03:33 AM"
"33 3,4 * * 4","At 03:33 AM and 04:33 AM, only on Thursday"
"33 3,7,11,15,19,23 * * *","At 03:33 AM, 07:33 AM, 11:33 AM, 03:33 PM, 07:33 PM and 11:33 PM"
"33 7 * * 0","At 07:33 AM, only on Sunday"
"33 9 * * *","At 09:33 AM"
"34 * * * *","At 34 minutes past the hour"
"35 * * * *","At 35 minutes past the hour"
"35 */1 * * *","At 35 minutes past the hour"
"35 1 * * *","At 01:35 AM"
"35 18 * * *","At 06:35 PM"
"35 2 * * 1","At 02:35 AM, only on Monday"
"35 21 * * 1-5","At 09:35 PM, Monday through Friday"
"35 3 * * *","At 03:35 AM"
"35 3,4 * * 4","At 03:35 AM and 04:35 AM, only on Thursday"
"35 4 * * *","At 04:35 AM"
"35 5 * * *","At 05:35 AM"
"35 5 * * 2-6","At 05:35 AM, Tuesday through Saturday"
"36 * * * *","At 36 minutes past the hour"
"36 */3 * * *","At 36 minutes past the hour, every 3 hours"
"37 * * * *","At 37 minutes past the hour"
"37 02 * * *","At 02:37 AM"
"37 6 * * 1-5","At 06:37 AM, Monday through Friday"
"37 6 * * 3","At 06:37 AM, only on Wednesday"
"37,52 15-16 * * *","At 37 and 52 minutes past the hour, between 03:00 PM and 04:59 PM"
"38 * * * *","At 38 minutes past the hour"
"38 0,2 * * 4","At 12:38 AM and 02:38 AM, only on Thursday"
"38 0,4,8,12,14,16,20 * * *","At 12:38 AM, 04:38 AM, 08:38 AM, 12:38 PM, 02:38 PM, 04:38 PM and 08:38  PM"
"38 1 * * 0-1","At 01:38 AM, Sunday through Monday"
"38 2 * * 0-1","At 02:38 AM, Sunday through Monday"
"38 3 * * 0-1","At 03:38 AM, Sunday through Monday"
"38 4 * * 0-1","At 04:38 AM, Sunday through Monday"
"38 5 * * 0-1","At 05:38 AM, Sunday through Monday"
"38 6 * * 0-1","At 06:38 AM, Sunday through Monday"
"38 7 * * 0-1","At 07:38 AM, Sunday through Monday"
"39 * * * *","At 39 minutes past the hour"
"39 5 * * *","At 05:39 AM"
"39 6-23 * * 1-6","At 39 minutes past the hour, between 06:00 AM and 11:59 PM, Monday  through Saturday"
"40 * * * *","At 40 minutes past the hour"
"40 0 * * *","At 12:40 AM"
"40 1 * * *","At 01:40 AM"
"40 10 * * *","At 10:40 AM"
"40 11 * * *","At 11:40 AM"
"40 12 * * *","At 12:40 PM"
"40 13 * * *","At 01:40 PM"
"40 14 * * *","At 02:40 PM"
"40 15 * * *","At 03:40 PM"
"40 16 * * *","At 04:40 PM"
"40 17 * * *","At 05:40 PM"
"40 18 * * *","At 06:40 PM"
"40 19 * * *","At 07:40 PM"
"40 2 * * *","At 02:40 AM"
"40 2 * * 1","At 02:40 AM, only on Monday"
"40 20 * * *","At 08:40 PM"
"40 21 * * *","At 09:40 PM"
"40 22 * * *","At 10:40 PM"
"40 23 * * *","At 11:40 PM"
"40 3 * * *","At 03:40 AM"
"40 4 * * *","At 04:40 AM"
"40 5 * * *","At 05:40 AM"
"40 6 * * *","At 06:40 AM"
"40 7 * * *","At 07:40 AM"
"40 8 * * *","At 08:40 AM"
"40 9 * * *","At 09:40 AM"
"41 * * * *","At 41 minutes past the hour"
"41 0 * * *","At 12:41 AM"
"41 0,3 * * *","At 12:41 AM and 03:41 AM"
"41 2,6,10,14,18,22 * * *","At 02:41 AM, 06:41 AM, 10:41 AM, 02:41 PM, 06:41 PM and 10:41 PM"
"41 23 * * *","At 11:41 PM"
"42 * * * *","At 42 minutes past the hour"
"42 7 * * *","At 07:42 AM"
"43 * * * *","At 43 minutes past the hour"
"43 0 * * *","At 12:43 AM"
"43 1 * * *","At 01:43 AM"
"43 1,2 * * *","At 01:43 AM and 02:43 AM"
"43 23 * * *","At 11:43 PM"
"43 5 * * *","At 05:43 AM"
"44 * * * *","At 44 minutes past the hour"
"44 4 * * *","At 04:44 AM"
"45 * * * *","At 45 minutes past the hour"
"45 0 * * *","At 12:45 AM"
"45 1 * * *","At 01:45 AM"
"45 11 * * *","At 11:45 AM"
"45 2 * * *","At 02:45 AM"
"45 21 * * 1-5","At 09:45 PM, Monday through Friday"
"45 23 * * *","At 11:45 PM"
"45 23 * * 1-5","At 11:45 PM, Monday through Friday"
"45 23 * * 5","At 11:45 PM, only on Friday"
"45 3 * * *","At 03:45 AM"
"45 4 * * *","At 04:45 AM"
"45 5 * * *","At 05:45 AM"
"45 6 * * *","At 06:45 AM"
"46 * * * *","At 46 minutes past the hour"
"46 0 * * *","At 12:46 AM"
"46 19 * * 1-5","At 07:46 PM, Monday through Friday"
"46 23 * * *","At 11:46 PM"
"47 * * * *","At 47 minutes past the hour"
"47 */2 * * *","At 47 minutes past the hour, every 2 hours"
"47 3 * * 1","At 03:47 AM, only on Monday"
"47 5 * * 1-5","At 05:47 AM, Monday through Friday"
"48 * * * *","At 48 minutes past the hour"
"48 */4 * * *","At 48 minutes past the hour, every 4 hours"
"48 0 * * *","At 12:48 AM"
"48 23 * * *","At 11:48 PM"
"48 6 * * *","At 06:48 AM"
"48 6 * * 1","At 06:48 AM, only on Monday"
"49 * * * *","At 49 minutes past the hour"
"49 0 * * *","At 12:49 AM"
"50 * * * *","At 50 minutes past the hour"
"50 0 * * *","At 12:50 AM"
"50 1 * * *","At 01:50 AM"
"50 1 * * 1","At 01:50 AM, only on Monday"
"50 1 * * 2-5","At 01:50 AM, Tuesday through Friday"
"50 10 * * *","At 10:50 AM"
"50 11 * * *","At 11:50 AM"
"50 12 * * *","At 12:50 PM"
"50 13 * * *","At 01:50 PM"
"50 14 * * *","At 02:50 PM"
"50 15 * * *","At 03:50 PM"
"50 16 * * *","At 04:50 PM"
"50 17 * * *","At 05:50 PM"
"50 18 * * *","At 06:50 PM"
"50 19 * * *","At 07:50 PM"
"50 2 * * *","At 02:50 AM"
"50 20 * * *","At 08:50 PM"
"50 21 * * *","At 09:50 PM"
"50 21 * * 1-5","At 09:50 PM, Monday through Friday"
"50 22 * * *","At 10:50 PM"
"50 23 * * *","At 11:50 PM"
"50 3 * * *","At 03:50 AM"
"50 4 * * *","At 04:50 AM"
"50 5 * * *","At 05:50 AM"
"50 5 * * 1-5","At 05:50 AM, Monday through Friday"
"50 6 * * *","At 06:50 AM"
"50 7 * * *","At 07:50 AM"
"50 8 * * *","At 08:50 AM"
"50 9 * * *","At 09:50 AM"
"51 * * * *","At 51 minutes past the hour"
"51 6 * * *","At 06:51 AM"
"52 * * * *","At 52 minutes past the hour"
"52 23 * * *","At 11:52 PM"
"52 5 * * *","At 05:52 AM"
"53 * * * *","At 53 minutes past the hour"
"53 2 * * *","At 02:53 AM"
"53 2,3 * * 4","At 02:53 AM and 03:53 AM, only on Thursday"
"53 2,6,10,14,18,22 * * *","At 02:53 AM, 06:53 AM, 10:53 AM, 02:53 PM, 06:53 PM and 10:53 PM"
"53 22 * * *","At 10:53 PM"
"53 3 * * *","At 03:53 AM"
"53 4,10,16,22 * * *","At 04:53 AM, 10:53 AM, 04:53 PM and 10:53 PM"
"54 * * * *","At 54 minutes past the hour"
"54 1,5,9,13,17,21 * * *","At 01:54 AM, 05:54 AM, 09:54 AM, 01:54 PM, 05:54 PM and 09:54 PM"
"55 * * * *","At 55 minutes past the hour"
"55 0 * * *","At 12:55 AM"
"55 0,12 * * *","At 12:55 AM and 12:55 PM"
"55 0,6,12,18 * * *","At 12:55 AM, 06:55 AM, 12:55 PM and 06:55 PM"
"55 6,18 * * *","At 06:55 AM and 06:55 PM"
"55 8 * * *","At 08:55 AM"
"56 1,2 * * *","At 01:56 AM and 02:56 AM"
"56 1,5,9,13,17,21 * * *","At 01:56 AM, 05:56 AM, 09:56 AM, 01:56 PM, 05:56 PM and 09:56 PM"
"56 5 * * *","At 05:56 AM"
"57 * * * 1-5","At 57 minutes past the hour, Monday through Friday"
"57 10 * * *","At 10:57 AM"
"57 2 * * *","At 02:57 AM"
"57 2,6,10,14,18,22 * * *","At 02:57 AM, 06:57 AM, 10:57 AM, 02:57 PM, 06:57 PM and 10:57 PM"
"57 3 * * *","At 03:57 AM"
"57 6 * * *","At 06:57 AM"
"57 6 * * 1-5","At 06:57 AM, Monday through Friday"
"57 6 * * 2","At 06:57 AM, only on Tuesday"
"57 7,8,9,10,11,12,13,14,15,16,17,18,19,20  * * *","At 07:57 AM, 08:57 AM, 09:57 AM, 10:57 AM, 11:57 AM, 12:57 PM, 01:57 PM,  02:57 PM, 03:57 PM, 04:57 PM, 05:57 PM, 06:57 PM, 07:57 PM and 08:57 PM"
"58 1,3 * * 4","At 01:58 AM and 03:58 AM, only on Thursday"
"58-59/60 * * * *","Every 60 minutes, minutes 58 through 59 past the hour"
"59 * * * *","At 59 minutes past the hour"
"59 11 * * *","At 11:59 AM"
"59 23 * * *","At 11:59 PM"
