"Deployment_Type",APP,"SN_apps","LM_apps","MC_apps","DS_apps","DS_deployment_apps","IDX_apps","IDX_Peer_Node_apps","CM_apps","CM_master_apps","SH_apps","SHCD_apps","SH_Cluster_Member_apps","SHCD_shcluster_apps","SHCD_shcluster_users","HFWD_nix_apps","HFWD_nix_DS_SC","HFWD_WIN_apps","HFWD_WIN_DS_SC","FWD_nix_apps","FWD_nix_DS_SC","FWD_WIN_apps","FWD_WIN_DS_SC",Description
"1. Single Node Install","TA-org_splunk",YES,,"YES!",,,,,,,,,,,,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"1. Single Node Install","org_all_app_props",,,,,,,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"1. Single Node Install","org_all_indexes",YES,,,,,,,,,,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"1. Single Node Install","org_all_search_base",,,,,,,,,,,,,,,,,,,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"1. Single Node Install","org_dept_app_inputs",,,,,,,,,,,,,,,,,,,,,,,"This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer."
"1. Single Node Install","org_indexer_volume_indexes",YES,,,,,,,,,,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","TA-org_splunk",,,"YES!",,"YES!","YES!",,,,"YES!",,,,,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_app_props",,,,,"YES!",,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_forwarder_outputs",,"YES!","YES!","YES!","YES!",,,,,"YES!",,,,,,YES,,YES,,YES,,YES,"Even full instances of Splunk that are not indexers (things like the deployment server, license master (if separate), cluster master, etc) should forward their data to the indexing tier.
List of target indexers that gets shipped to any forwarder; this way, all data makes it to the indexer pool, and there’s only one place to edit when the indexer list changes."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_indexer_base",,,,,"YES!","YES!",,,,,,,,,,,,,,,,,"This primes the host to act as an indexer. Optionally disable the web interface.
Baseline settings for an indexer, such as input port, disabling Splunkweb, etc.  In larger environments, where there are more than, say, three indexers, it's common to disable the Splunk UI. This helps avoid configuration issues caused by logging in to the UI to do something directly via the manager, as well as saving some system resources."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_indexes",,,,,,"YES!",,,,,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_search_base",,"YES!","YES!","YES!","YES!",,,,,"YES!",,,,,,YES,,YES,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_dept_app_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,YES,"This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_full_license_server",,"YES!","YES!","YES!","YES!","YES!",,,,"YES!",,,,,,YES,,YES,,,,,"When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster master are licensed functionalities (for example).
Location of the license master.  In distributed environments, it's common to have a lone search head acting as the license master as well. In this configuration, providing the URI of the license master is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_indexer_volume_indexes",,,,,,"YES!",,,,,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
"2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","org_search_volume_indexes",,,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,"The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally)."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","TA-org_splunk",,,"YES!",,"YES!","YES!",,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_app_props",,,,,"YES!",,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_search_base",,"YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_cluster_forwarder_outputs",,,"YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,YES,,YES,"If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed"
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_cluster_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"This primes the indexer to act as an indexing member of a cluster. The location of the master and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_cluster_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"This small app enables the cluster master functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_cluster_search_base",,,"YES!",,,,,,,"YES!",,,,,,,,,,,,,"Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster master.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_dept_app_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,YES,"This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_full_license_server",,"YES!","YES!","YES!","YES!",,,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,"When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster master are licensed functionalities (for example).
Location of the license master.  In distributed environments, it's common to have a lone search head acting as the license master as well. In this configuration, providing the URI of the license master is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_indexer_volume_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
"3. Clustered Indexers and Non-clustered SHs (Single Site)","org_search_volume_indexes",,,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,"The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally)."
"4. Clustered Indexers and Clustered SHs (Single Site)","TA-org_splunk",,,"YES!",,"YES!","YES!",,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_app_props",,,,,"YES!",,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_search_base",,"YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,"YES!",,,YES,,YES,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"4. Clustered Indexers and Clustered SHs (Single Site)","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"4. Clustered Indexers and Clustered SHs (Single Site)","org_cluster_forwarder_outputs",,,"YES!","YES!","YES!",,,"YES!",,"YES!","YES!",,"YES!",,,YES,,YES,,YES,,YES,"The cluster master itself will no longer be manageable by the deployment server, as the configs which are received go to the master-apps directory, rather than the apps directory.
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed"
"4. Clustered Indexers and Clustered SHs (Single Site)","org_cluster_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"This primes the indexer to act as an indexing member of a cluster. The location of the master and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_cluster_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"This small app enables the cluster master functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_cluster_search_base",,,"YES!",,,,,,,"YES!",,"YES!",,,,,,,,,,,"Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster master.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_full_license_server",,"YES!","YES!","YES!","YES!",,,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,"When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster master are licensed functionalities (for example).
Location of the license master.  In distributed environments, it's common to have a lone search head acting as the license master as well. In this configuration, providing the URI of the license master is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same."
"4. Clustered Indexers and Clustered SHs (Single Site)","org_indexer_volume_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
