"Deployment_Type",APP,"SN_apps","LM_apps","MC_apps","DS_apps","DS_deployment_apps","IDX_apps","IDX_Peer_Node_apps","CM_apps","CM_master_apps","SH_apps","SHCD_apps","SH_Cluster_Member_apps","SHCD_shcluster_apps","SHCD_shcluster_users","HFWD_nix_apps","HFWD_nix_DS_SC","HFWD_WIN_apps","HFWD_WIN_DS_SC","FWD_nix_apps","FWD_nix_DS_SC","FWD_WIN_apps","FWD_WIN_DS_SC",Description
"4. Clustered Indexers and Clustered SHs (Single Site)","org_search_volume_indexes",,,"YES!",,"YES!",,,,,"YES!",,,"YES!",,,,,,,,,,"The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally)."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","TA-org_splunk",,,"YES!",,"YES!","YES!",,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_app_props",,,,,"YES!",,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_search_base",,"YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_cluster_forwarder_outputs",,,"YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,YES,,YES,"If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed"
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_cluster_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"This primes the indexer to act as an indexing member of a cluster. The location of the master and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_cluster_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"This small app enables the cluster master functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_cluster_search_base",,,"YES!",,,,,,,"YES!",,"YES!",,,,,,,,,,,"Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster master.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_dept_app_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,YES,"This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_full_license_server",,"YES!","YES!","YES!","YES!",,,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,"When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster master are licensed functionalities (for example).
Location of the license master.  In distributed environments, it's common to have a lone search head acting as the license master as well. In this configuration, providing the URI of the license master is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_indexer_volume_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_multisite_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"Use this to enable multi-site functionality on the cluster master. The replication policy is defined here. Like with org_cluster_master_base, the pass4SymmKey should be changed.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_search_volume_indexes",,,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,"The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally)."
"5. Clustered Indexers and Non-clustered SHs (Multi Site)","org_site_n_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"Provide this (hand carry) to an indexer node in a multi-site cluster in order to set the site number for this host.
This app is expected to be layered on top of org_cluster_indexer_base; the settings there establish the general relationship with the master and set up clustered indexing behavior. This is another layer to provide the site number of the host, and to indicate that the clustering should be of the multi-site variety.
This app cannot be shipped via the master-apps mechanism; it would make all sites the same. Place it in apps on the affected indexer.  This can have a value ranging from site1..site63.  The numbers do *not* have to go in order, the first logical site can be site8, the second site12, all that matters is that the site number falls in the right range, and that when specific site names are used in the site_replication_factor of the master's config, there must be a valid match."
"6. Clustered Indexers and Clustered SHs (Multi Site)","TA-org_splunk",,,"YES!",,"YES!","YES!",,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_app_props",,,,,"YES!",,,,,,,,,,,,,,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Put all customer (and default) indexes here.
Index definitions"
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_search_base",,"YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,"YES!",,,YES,,YES,,,,,"If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)"
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_cluster_forwarder_outputs",,,"YES!","YES!","YES!",,,"YES!",,"YES!",,,"YES!",,,YES,,YES,,YES,,YES,"If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed"
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_cluster_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"This primes the indexer to act as an indexing member of a cluster. The location of the master and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_cluster_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"This small app enables the cluster master functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster master (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the master itself (apply cluster-bundle), so this is another reason to disable the Splunk UI."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_cluster_search_base",,,"YES!",,,,,,,"YES!",,"YES!",,,,,,,,,,,"Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster master.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_full_license_server",,"YES!","YES!","YES!","YES!",,,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,"When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster master are licensed functionalities (for example).
Location of the license master.  In distributed environments, it's common to have a lone search head acting as the license master as well. In this configuration, providing the URI of the license master is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_indexer_volume_indexes",,,,,,,,,"YES!",,,,,,,,,,,,,,"Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_multisite_master_base",,,,,,,,"YES!",,,,,,,,,,,,,,,"Use this to enable multi-site functionality on the cluster master. The replication policy is defined here. Like with org_cluster_master_base, the pass4SymmKey should be changed.
The master's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the master sets the number of replicated copies for that index."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_search_volume_indexes",,,"YES!",,"YES!",,,,,"YES!",,,"YES!",,,,,,,,,,"The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally)."
"6. Clustered Indexers and Clustered SHs (Multi Site)","org_site_n_indexer_base",,,,,,,"YES!",,,,,,,,,,,,,,,,"Provide this (hand carry) to an indexer node in a multi-site cluster in order to set the site number for this host.
This app is expected to be layered on top of org_cluster_indexer_base; the settings there establish the general relationship with the master and set up clustered indexing behavior. This is another layer to provide the site number of the host, and to indicate that the clustering should be of the multi-site variety.
This app cannot be shipped via the master-apps mechanism; it would make all sites the same. Place it in apps on the affected indexer.  This can have a value ranging from site1..site63.  The numbers do *not* have to go in order, the first logical site can be site8, the second site12, all that matters is that the site number falls in the right range, and that when specific site names are used in the site_replication_factor of the master's config, there must be a valid match."
"7. Cloud","100_<CUSTOMER>_splunkcloud",,"YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,"YES!",,,YES,,YES,,YES,,YES,"Login to the customer Cloud Search Head, go to the Universal Forwarder App & click on ""Download Universal Forwarder Credentials""
splunkclouduf.spl (actual folder installed will be: 100_<CUSTOMER NAME>_splunkcloud)
The Splunk universal forwarder software sends data from your network to the Splunk platform for indexing and consolidation. Install and configure universal forwarder software on the machines in your network that send data to the Splunk platform."
"7. Cloud","TA-org_splunk",,"YES!","YES!","YES!","YES!","YES!",,"YES!","YES!","YES!","YES!",,,YES,,YES,,YES,,,,,"TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting."
"7. Cloud","org_all_app_props",,,,,"YES!","YES!",,,"YES!","YES!",,,"YES!",,,YES,,YES,,,,,"Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle."
"7. Cloud","org_all_deploymentclient",,,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,"Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients."
"7. Cloud","org_all_syslog_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"7. Cloud","org_all_unix_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"7. Cloud","org_all_windows_inputs",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"7. Cloud","org_dept_app_inputs",,,,,"YES!",,,,,,,,,,,,,,,YES,,YES,"This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer."
"7. Cloud","org_full_license_server",,,,,,,,,,,,,,,,YES,,YES,,,,,"The license file will be in XML format and for 1MB daily indexing
Install the license file on the on-prem Splunk License Master server however you may choose to use the on-prem Splunk Deployment Server to act as your LM as well "
Deployments,"org_uf_all_deploymentclient",,,,,,,,,,,,,,,,,,,,,,,
"SplunkBase Apps & Add-ons","Splunk_SA_CIM",,,,,"YES!",,,,,"YES!",,,"YES!",,,,,,,,,,"The Common Information Model is a set of field names and tags which are expected to define the least common denominator of a domain of interest. It is implemented as documentation on the Splunk docs website and JSON data model files in this add-on. Use the CIM add-on when modeling data or building apps to ensure compatibility between apps, or to just take advantage of these data models to pivot and report."
"SplunkBase Apps & Add-ons","Splunk_TA_nix",,,,,"YES!",,,,,,,,,,,,,,,YES,,,"The Splunk Technology Add-on for Unix and Linux works with the Splunk App for Unix and Linux to provide rapid insights and operational visibility into large-scale Unix and Linux environments. With its new pre-packaged alerting capability, flexible service-based hosts grouping, and easy management of many data sources, it arms administrators with a powerful ability to quickly identify performance and capacity bottlenecks and outliers in Unix and Linux environments."
"SplunkBase Apps & Add-ons","Splunk_TA_windows",,,,,"YES!",,,,,,,,,,,,,,,,,YES,"The Splunk for Microsoft Windows add-on includes predefined inputs to collect data from Windows systems and maps to normalize the data to the Common Information Model.
"
Tuning,"org_fwd_tuning",,,,,"YES!",,,,,,,,,,,YES,,YES,,,,,"Apply to UF & HF that are doing large amount of data collection like syslog"
